Bulan;Domestik;Mancanegara
01/01/22;131561;127
01/02/22;89203;170
01/03/22;111540;348
01/04/22;23890;618
01/05/22;324135;2175
01/06/22;191810;4341
01/07/22;125266;1184
01/08/22;51906;15550
01/09/22;44552;9853
01/10/22;76461;7688
01/11/22;74253;4941
01/12/22;198709;6941
01/01/21;30394;52
01/02/21;18641;37
01/03/21;34624;33
01/04/21;30713;64
01/05/21;38369;55
01/06/21;54589;70
01/07/21;0;0
01/08/21;0;0
01/09/21;5892;9
01/10/21;30285;93
01/11/21;51485;106
01/12/21;127938;155
01/01/20;395175;15603
01/02/20;234280;11506
01/03/20;111908;4213
01/04/20;0;0
01/05/20;0;0
01/06/20;2235;2
01/07/20;16858;29
01/08/20;45571;39
01/09/20;23591;19
01/10/20;43159;38
01/11/20;32449;26
01/12/20;60473;76
