,Teks_Clean,Teks_Clean2,Tokeniz,baku_text,stemmed_content,label
0,kunjungan prabowo ini untuk meresmikan dan menyerahkan proyek bantuan air bersih di lima titik indonesiasentris indonesiahijau  anakmudaindonesiaemas prabowo subianto,kunjungan meresmikan menyerahkan proyek bantuan air bersih titik,"['kunjungan', 'meresmikan', 'menyerahkan', 'proyek', 'bantuan', 'air', 'bersih', 'titik']","['kunjungan', 'meresmikan', 'menyerahkan', 'proyek', 'bantuan', 'air', 'bersih', 'titik']",kunjung resmi serah proyek bantu air bersih titik,Sumber Daya Alam
1,rt anies dapat tepuk tangan meriah saat jadi rektor mewajibkan mata kuliah antikorupsi untuk memutus mata rantai korupsi aminmiskinkankoruptor,tepuk tangan meriah rektor mewajibkan mata kuliah antikorupsi memutus mata rantai korupsi,"['tepuk', 'tangan', 'meriah', 'rektor', 'mewajibkan', 'mata', 'kuliah', 'antikorupsi', 'memutus', 'mata', 'rantai', 'korupsi']","['tepuk', 'tangan', 'meriah', 'rektor', 'mewajibkan', 'mata', 'kuliah', 'antikorupsi', 'memutus', 'mata', 'rantai', 'korupsi']",tepuk tangan riah rektor wajib mata kuliah antikorupsi putus mata rantai korupsi,Politik
2,emng bener sih pendukung  ada yg goblok begitu jg dg pendukung  hnya sj menurut pak ridwan kamil skemanya terbalik klo  mayoritas pendidikan menengah atas artinya ada jg pendidikan rendah yg milih,emng bener pendukung goblok pendukung kamil skemanya terbalik mayoritas pendidikan menengah pendidikan rendah milih,"['emng', 'bener', 'pendukung', 'goblok', 'pendukung', 'kamil', 'skemanya', 'terbalik', 'mayoritas', 'pendidikan', 'menengah', 'pendidikan', 'rendah', 'milih']","['memang', 'benar', 'pendukung', 'goblok', 'pendukung', 'kamil', 'skemanya', 'terbalik', 'mayoritas', 'pendidikan', 'menengah', 'pendidikan', 'rendah', 'memilih']",memang benar dukung goblok dukung kamil skema balik mayoritas didik tengah didik rendah pilih,Demografi
3,rt  sewaktu anies bersikap kritis ke kinerja pak prabowo dianggap engga sopan karena dianggap kurang menghormati orang tua giliran skrg gibran yg tengil dan sok kritis malah dianggap kritis dan keras apakah ini tidak standar ganda,bersikap kritis kinerja dianggap sopan dianggap menghormati tua giliran tengil sok kritis dianggap kritis keras standar ganda,"['bersikap', 'kritis', 'kinerja', 'dianggap', 'sopan', 'dianggap', 'menghormati', 'tua', 'giliran', 'tengil', 'sok', 'kritis', 'dianggap', 'kritis', 'keras', 'standar', 'ganda']","['bersikap', 'kritis', 'kinerja', 'dianggap', 'sopan', 'dianggap', 'menghormati', 'tua', 'giliran', 'tengil', 'sok', 'kritis', 'dianggap', 'kritis', 'keras', 'standar', 'ganda']",sikap kritis kerja anggap sopan anggap hormat tua gilir tengil sok kritis anggap kritis keras standar ganda,Politik
4,anies baswedan harap asn termasuk tni dan polri pegang sumpahnya dalam pemilu,asn tni polri sumpahnya pemilu,"['asn', 'tni', 'polri', 'sumpahnya', 'pemilu']","['asn', 'tni', 'polri', 'sumpahnya', 'pemilu']",asn tni polri sumpah milu,Politik
5,rt duh jangan sampai pak lurah denger nih  di acara hajatan rakyat puluhan ribu warga di kendal serukan ganjar presiden kehadiran  menjadi magnet bagi puluhan ribu warga untuk datang menghadiri hajatan rakyat ganjarmahfud besarnya antusiasme warga menjadi bukti bahwa jawa tengah tetap menjadi kandang banteng  tabrakprofmahfud,duh denger acara hajatan rakyat puluhan ribu warga kendal serukan kehadiran magnet puluhan ribu warga menghadiri hajatan rakyat besarnya antusiasme warga bukti kandang,"['duh', 'denger', 'acara', 'hajatan', 'rakyat', 'puluhan', 'ribu', 'warga', 'kendal', 'serukan', 'kehadiran', 'magnet', 'puluhan', 'ribu', 'warga', 'menghadiri', 'hajatan', 'rakyat', 'besarnya', 'antusiasme', 'warga', 'bukti', 'kandang']","['duh', 'dengar', 'acara', 'hajatan', 'rakyat', 'puluhan', 'ribu', 'warga', 'kendal', 'serukan', 'kehadiran', 'magnet', 'puluhan', 'ribu', 'warga', 'menghadiri', 'hajatan', 'rakyat', 'besarnya', 'antusiasme', 'warga', 'bukti', 'kandang']",duh dengar acara hajat rakyat puluh ribu warga kendal seru hadir magnet puluh ribu warga hadir hajat rakyat besar antusiasme warga bukti kandang,Politik
6,prabowo minta kemenhan dan tim satgas air unhan kaji bantuan air di sukabumi  prabowo  gibran,kemenhan satgas air unhan kaji bantuan air sukabumi,"['kemenhan', 'satgas', 'air', 'unhan', 'kaji', 'bantuan', 'air', 'sukabumi']","['kemenhan', 'satgas', 'air', 'unhan', 'kaji', 'bantuan', 'air', 'sukabumi']",kemenhan satgas air unhan kaji bantu air sukabumi,Pertahanan dan Keamanan
7,rt anies ya allah sibukkanlah orang zalim agar dapat kejahatan dari orang zalim lainnya,allah sibukkanlah zalim kejahatan zalim,"['allah', 'sibukkanlah', 'zalim', 'kejahatan', 'zalim']","['allah', 'sibukkanlah', 'zalim', 'kejahatan', 'zalim']",allah sibuk zalim jahat zalim,Politik
8,rt abah  itu bapa kami bapa yg berikan perhatian untuk pendidikan anak anak papua jadi pintar pintar gerakan indonesia mengajar tak bisa di lupakan sama warga papua kami ingin bapa anies jadi presiden,bapa bapa perhatian pendidikan pintar pintar gerakan mengajar lupakan warga bapa,"['bapa', 'bapa', 'perhatian', 'pendidikan', 'pintar', 'pintar', 'gerakan', 'mengajar', 'lupakan', 'warga', 'bapa']","['bapa', 'bapa', 'perhatian', 'pendidikan', 'pintar', 'pintar', 'gerakan', 'mengajar', 'lupakan', 'warga', 'bapa']",bapa bapa perhati didik pintar pintar gera ajar lupa warga bapa,Politik
9,rt bawaslu dimaki jancuk sama warga gara‚ mencopot spanduk ganjar mahfud sementara spanduk capres lain tidak dicopot bawaslu rasa tim sukses  asalbukanprabowo ordebarureborn,bawaslu dimaki jancuk warga gara‚ mencopot spanduk spanduk dicopot bawaslu sukses ordebarureborn,"['bawaslu', 'dimaki', 'jancuk', 'warga', 'gara‚', 'mencopot', 'spanduk', 'spanduk', 'dicopot', 'bawaslu', 'sukses', 'ordebarureborn']","['bawaslu', 'dimaki', 'jancuk', 'warga', 'gara‚', 'mencopot', 'spanduk', 'spanduk', 'dicopot', 'bawaslu', 'sukses', 'ordebarureborn']",bawaslu maki jancuk warga gara copot spanduk spanduk copot bawaslu sukses ordebarureborn,Politik
