"avg_price_per_room";"lead_time";"stays_in_weekend_nights";"stays_in_week_nights";"adults";"children";"babies";"meal";"country";"market_segment";"distribution_channel";"is_repeated_guest";"previous_cancellations";"previous_bookings_not_canceled";"reserved_room_type";"assigned_room_type";"booking_changes";"agent";"company";"days_in_waiting_list";"customer_type";"required_car_parking_spaces";"total_of_special_requests";"arrival_date";"arrival_date_num";"near_christmas";"near_new_years";"historical_adr"
110;241;0;1;2;1;0;"bed_and_breakfast";"prt";"online_travel_agent";"ta_to";0;0;0;"a";"c";0;"devin_rivera_borrego";"not_applicable";0;"transient";1;1;2016-07-02;2016.5;0;0;104.981119112664
74;273;2;5;2;0;0;"bed_and_breakfast";"aus";"offline_travel_agent";"ta_to";0;0;0;"a";"a";0;"lia_nauth";"not_applicable";0;"transient_party";0;0;2016-07-02;2016.5;0;0;104.981119112664
81.9;248;2;5;2;0;0;"breakfast_and_one_other_meal";"gbr";"offline_travel_agent";"ta_to";0;0;0;"a";"c";1;"jawhara_al_azad";"not_applicable";0;"transient";0;0;2016-07-02;2016.5;0;0;104.981119112664
81;236;2;5;2;0;0;"bed_and_breakfast";"prt";"online_travel_agent";"ta_to";0;0;0;"a";"a";0;"devin_rivera_borrego";"not_applicable";0;"transient";0;2;2016-07-02;2016.5;0;0;104.981119112664
112.2;243;4;10;2;0;0;"breakfast_and_one_other_meal";"gbr";"offline_travel_agent";"ta_to";0;0;0;"a";"a";1;"jawhara_al_azad";"not_applicable";0;"transient";0;0;2016-07-02;2016.5;0;0;104.981119112664
90.8;267;2;5;2;0;0;"breakfast_and_one_other_meal";"null";"offline_travel_agent";"ta_to";0;0;0;"a";"a";0;"reema_el_tamer";"not_applicable";0;"transient";0;0;2016-07-02;2016.5;0;0;104.981119112664
317;94;4;7;3;0;0;"breakfast_lunch_and_dinner";"prt";"direct";"ta_to";1;0;1;"f";"f";0;"not_applicable";"not_applicable";0;"transient";1;1;2016-07-02;2016.5;0;0;104.981119112664
159;10;0;1;2;0;0;"bed_and_breakfast";"esp";"online_travel_agent";"ta_to";0;0;0;"e";"f";1;"devin_rivera_borrego";"not_applicable";0;"transient";0;1;2016-07-02;2016.5;0;0;104.981119112664
184;156;0;1;2;0;0;"bed_and_breakfast";"hun";"online_travel_agent";"ta_to";0;0;0;"h";"h";0;"devin_rivera_borrego";"not_applicable";0;"transient";1;0;2016-07-02;2016.5;0;0;104.981119112664
107.1;170;0;1;2;0;0;"bed_and_breakfast";"bra";"online_travel_agent";"ta_to";0;0;0;"a";"e";0;"jawaad_el_shahid";"not_applicable";0;"transient";0;2;2016-07-02;2016.5;0;0;104.981119112664
119.1;170;0;1;2;0;0;"bed_and_breakfast";"bra";"online_travel_agent";"ta_to";0;0;0;"a";"e";0;"jawaad_el_shahid";"not_applicable";0;"transient";1;2;2016-07-02;2016.5;0;0;104.981119112664
201;4;0;1;2;2;0;"bed_and_breakfast";"prt";"online_travel_agent";"ta_to";0;0;0;"g";"g";0;"devin_rivera_borrego";"not_applicable";0;"transient";1;0;2016-07-02;2016.5;0;0;104.981119112664
107.1;170;0;1;2;0;0;"bed_and_breakfast";"usa";"online_travel_agent";"ta_to";0;0;0;"a";"e";0;"jawaad_el_shahid";"not_applicable";0;"transient";0;2;2016-07-02;2016.5;0;0;104.981119112664
119.1;170;0;1;2;0;0;"bed_and_breakfast";"usa";"online_travel_agent";"ta_to";0;0;0;"a";"f";0;"jawaad_el_shahid";"not_applicable";0;"transient";1;2;2016-07-02;2016.5;0;0;104.981119112664
252.17;3;2;1;2;1;0;"breakfast_and_one_other_meal";"esp";"direct";"direct";0;0;0;"f";"f";3;"alexander_drake";"not_applicable";0;"transient";1;0;2016-07-02;2016.5;0;0;104.981119112664
